                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 0.5882,                0.45155,                0.97855,                0.90112,                0.79082,                0.84831,                0.73475,                0.59785,                0.52918,                0.96781,             6.8351e-05,             6.8351e-05,             6.8351e-05
                     87,                0.59103,                0.45304,                0.97946,                 0.9227,                0.78545,                0.85277,                0.73904,                0.59417,                0.52428,                0.96088,             6.7767e-05,             6.7767e-05,             6.7767e-05
                     88,                0.58365,                0.44439,                0.97704,                0.92444,                  0.786,                0.85304,                0.74205,                0.58491,                0.51835,                0.96176,             6.7183e-05,             6.7183e-05,             6.7183e-05
                     89,                0.58371,                0.44991,                0.98144,                 0.9111,                0.78117,                0.85078,                0.73709,                0.59525,                 0.5283,                0.96553,             6.6599e-05,             6.6599e-05,             6.6599e-05
                     90,                0.57533,                0.43673,                0.97018,                0.93241,                0.78033,                 0.8504,                 0.7413,                0.58982,                0.53261,                0.95981,             6.6015e-05,             6.6015e-05,             6.6015e-05
                     91,                0.57257,                0.43419,                0.97041,                0.92165,                0.77885,                0.85226,                0.74314,                0.58478,                0.51168,                0.96289,             6.5431e-05,             6.5431e-05,             6.5431e-05
                     92,                0.57163,                0.43402,                0.97106,                0.92359,                0.78534,                0.85124,                 0.7435,                0.58031,                0.51569,                0.95809,             6.4847e-05,             6.4847e-05,             6.4847e-05
                     93,                0.57295,                 0.4299,                0.96533,                0.93027,                0.78495,                0.85281,                0.74599,                0.57727,                0.51944,                0.95464,             6.4263e-05,             6.4263e-05,             6.4263e-05
                     94,                0.56601,                0.42444,                0.96227,                0.91658,                0.79571,                0.85352,                0.74596,                0.57526,                0.51742,                0.95343,             6.3679e-05,             6.3679e-05,             6.3679e-05
                     95,                0.56332,                0.42504,                0.96494,                0.93064,                0.78599,                0.85678,                0.74969,                0.57118,                0.51141,                0.94903,             6.3095e-05,             6.3095e-05,             6.3095e-05
                     96,                0.55648,                0.41822,                0.96259,                0.92425,                0.79359,                0.85494,                0.74944,                0.57227,                0.51157,                0.95771,             6.2511e-05,             6.2511e-05,             6.2511e-05
                     97,                0.55236,                0.41643,                 0.9599,                0.92292,                0.79018,                0.85524,                0.75168,                0.57085,                0.51326,                0.95043,             6.1926e-05,             6.1926e-05,             6.1926e-05
                     98,                0.55537,                0.42058,                0.96251,                0.91684,                0.79506,                0.85387,                0.75093,                0.56746,                 0.5119,                0.95108,             6.1342e-05,             6.1342e-05,             6.1342e-05
                     99,                0.55218,                0.41616,                0.95974,                0.92555,                0.79249,                0.85525,                0.75308,                0.56197,                0.51152,                0.95184,             6.0758e-05,             6.0758e-05,             6.0758e-05
                    100,                0.55561,                0.41702,                0.96186,                0.92445,                0.78773,                0.85508,                0.75147,                0.56418,                0.51133,                 0.9517,             6.0174e-05,             6.0174e-05,             6.0174e-05
                    101,                0.54326,                 0.4055,                0.95379,                0.91996,                0.79893,                 0.8583,                0.75595,                0.56168,                0.50693,                0.94853,              5.959e-05,              5.959e-05,              5.959e-05
                    102,                0.54112,                0.41061,                0.95612,                0.93327,                0.78833,                0.85549,                  0.756,                0.55402,                0.50783,                 0.9452,             5.9006e-05,             5.9006e-05,             5.9006e-05
                    103,                0.53632,                0.39637,                0.95558,                0.92895,                0.79197,                0.85655,                0.75703,                0.55468,                0.50005,                0.94597,             5.8422e-05,             5.8422e-05,             5.8422e-05
                    104,                0.54104,                0.40236,                0.95095,                0.93107,                0.79384,                0.86018,                0.76174,                0.54462,                0.49331,                0.94024,             5.7838e-05,             5.7838e-05,             5.7838e-05
                    105,                  0.546,                 0.4018,                0.95828,                0.92328,                0.79339,                0.85944,                0.76181,                0.54685,                0.50005,                0.94425,             5.7254e-05,             5.7254e-05,             5.7254e-05
                    106,                 0.5345,                0.39971,                0.95333,                0.92271,                0.79906,                0.85829,                0.76201,                0.54791,                0.50435,                0.94801,             5.6669e-05,             5.6669e-05,             5.6669e-05
                    107,                0.53378,                0.39861,                 0.9521,                0.92598,                0.78694,                0.85948,                0.76257,                0.54688,                0.50117,                0.94345,             5.6085e-05,             5.6085e-05,             5.6085e-05
